"Date :",04/27/22 13:44:03
"Motion Threshold (au):",18
"Detection Method:","Linear"
"Min Freeze Duration (f):",30



Component Details
"Component Name","Start Time","Duration (s)","Start Frame","Duration Frames"
"pre-tone"," 0:00:00.000",370,0,11100
"tone 01"," 0:06:10.000",10,11100,300
"tone 02"," 0:09:20.000",10,16800,300
"tone 03"," 0:12:30.000",10,22500,300
"post-tone"," 0:12:40.000",180,22800,5400

"Experiment","Trial","Box","Animal","Group","Component Name","Freeze Cnt","Time Freezing","Pct Total Time Freezing","Pct Component Time Freezing","Avg Motion Index","Min Motion Index","Max Motion Index"
"VF042422_FC2","2",Chamber 1,"","","pre-tone",39,155.133,16.50,41.93,51.28,0,948
"VF042422_FC2","2",Chamber 1,"","","tone 01",2,4.533,0.48,45.33,51.34,0,683
"VF042422_FC2","2",Chamber 1,"","","tone 02",2,9.367,1.00,93.67,4.45,0,153
"VF042422_FC2","2",Chamber 1,"","","tone 03",2,8.200,0.87,82.00,4.93,0,123
"VF042422_FC2","2",Chamber 1,"","","post-tone",24,106.133,11.29,58.96,57.53,0,4543

"VF042422_FC2","2",Chamber 2,"","","pre-tone",29,75.900,8.07,20.51,107.61,0,1109
"VF042422_FC2","2",Chamber 2,"","","tone 01",1,6.200,0.66,62.00,50.27,0,410
"VF042422_FC2","2",Chamber 2,"","","tone 02",1,4.100,0.44,41.00,49.30,0,447
"VF042422_FC2","2",Chamber 2,"","","tone 03",2,8.067,0.86,80.67,7.43,0,232
"VF042422_FC2","2",Chamber 2,"","","post-tone",10,71.333,7.59,39.63,88.09,0,1953

"VF042422_FC2","2",Chamber 3,"","","pre-tone",16,35.900,3.82,9.70,181.43,0,1417
"VF042422_FC2","2",Chamber 3,"","","tone 01",1,5.133,0.55,51.33,94.60,0,759
"VF042422_FC2","2",Chamber 3,"","","tone 02",1,1.633,0.17,16.33,249.35,0,1246
"VF042422_FC2","2",Chamber 3,"","","tone 03",3,6.500,0.69,65.00,23.19,0,242
"VF042422_FC2","2",Chamber 3,"","","post-tone",22,102.067,10.86,56.70,45.38,0,3177

"VF042422_FC2","2",Chamber 4,"","","pre-tone",37,125.933,13.40,34.04,80.44,0,1018
"VF042422_FC2","2",Chamber 4,"","","tone 01",2,5.867,0.62,58.67,84.32,0,582
"VF042422_FC2","2",Chamber 4,"","","tone 02",3,4.900,0.52,49.00,108.79,0,691
"VF042422_FC2","2",Chamber 4,"","","tone 03",1,9.767,1.04,97.67,1.17,0,171
"VF042422_FC2","2",Chamber 4,"","","post-tone",17,81.700,8.69,45.39,44.35,0,3328

