Date :,4/5/24 12:12,,,,,,,,,,,
Motion Threshold (au):,18,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
pre-tone, 0:00:00.000,120,0,3600,,,,,,,,
tone 01, 0:02:00.000,25,3600,750,,,,,,,,
tone 02, 0:02:42.000,25,4860,750,,,,,,,,
tone 03, 0:03:15.000,25,5850,750,,,,,,,,
tone 04, 0:04:02.000,25,7260,750,,,,,,,,
tone 05, 0:04:47.000,25,8610,750,,,,,,,,
tone 06, 0:05:29.000,25,9870,750,,,,,,,,
tone 07, 0:06:09.000,25,11070,750,,,,,,,,
tone 08, 0:06:54.000,25,12420,750,,,,,,,,
tone 09, 0:07:24.000,25,13320,750,,,,,,,,
tone 10, 0:08:08.000,25,14640,750,,,,,,,,
tone 11, 0:08:45.000,25,15750,750,,,,,,,,
tone 12, 0:09:15.000,25,16650,750,,,,,,,,
post-tone, 0:09:40.000,120,17400,3600,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
VF040524_E1,1,Chamber 1,B6-M-189-01,03-100-10-SC,tone 12,5,12.833,1.83,51.33,8.5,0,139
VF040524_E1,1,Chamber 1,B6-M-189-01,03-100-10-SC,post-tone,19,51.9,7.41,43.25,23.37,0,400
,,,,,,,,,,,,
VF040524_E1,2,Chamber 3,B6-F-156-03,03-100-10-SC,pre-tone,12,26.7,3.81,22.25,32.55,0,425
VF040524_E1,2,Chamber 3,B6-F-156-03,03-100-10-SC,tone 01,2,24.3,3.47,97.2,0.64,0,59
VF040524_E1,2,Chamber 3,B6-F-156-03,03-100-10-SC,tone 02,2,24.967,3.57,99.87,0.16,0,21
VF040524_E1,2,Chamber 3,B6-F-156-03,03-100-10-SC,tone 03,1,16.633,2.38,66.53,11.88,0,159
VF040524_E1,2,Chamber 3,B6-F-156-03,03-100-10-SC,tone 04,1,20.067,2.87,80.27,11.25,0,190
VF040524_E1,2,Chamber 3,B6-F-156-03,03-100-10-SC,tone 05,3,24.333,3.48,97.33,0.49,0,52
VF040524_E1,2,Chamber 3,B6-F-156-03,03-100-10-SC,tone 06,3,22.167,3.17,88.67,1.4,0,69
VF040524_E1,2,Chamber 3,B6-F-156-03,03-100-10-SC,tone 07,1,24.9,3.56,99.6,0.11,0,31
VF040524_E1,2,Chamber 3,B6-F-156-03,03-100-10-SC,tone 08,1,25,3.57,100,0,0,1
VF040524_E1,2,Chamber 3,B6-F-156-03,03-100-10-SC,tone 09,2,14.267,2.04,57.07,4.67,0,136
VF040524_E1,2,Chamber 3,B6-F-156-03,03-100-10-SC,tone 10,3,23.767,3.4,95.07,1.57,0,122
VF040524_E1,2,Chamber 3,B6-F-156-03,03-100-10-SC,tone 11,2,20.233,2.89,80.93,4.51,0,95
VF040524_E1,2,Chamber 3,B6-F-156-03,03-100-10-SC,tone 12,4,18.933,2.7,75.73,8.25,0,157
VF040524_E1,2,Chamber 3,B6-F-156-03,03-100-10-SC,post-tone,14,38.167,5.45,31.81,28.39,0,301
,,,,,,,,,,,,
VF040524_E1,2,Chamber 2,B6-F-156-02,03-100-10-SC,pre-tone,6,8.5,1.21,7.08,99.48,0,734
VF040524_E1,2,Chamber 2,B6-F-156-02,03-100-10-SC,tone 01,2,6.333,0.9,25.33,19.89,0,269
VF040524_E1,2,Chamber 2,B6-F-156-02,03-100-10-SC,tone 02,5,22.633,3.23,90.53,1.41,0,54
VF040524_E1,2,Chamber 2,B6-F-156-02,03-100-10-SC,tone 03,8,17.467,2.5,69.87,21.17,0,333
VF040524_E1,2,Chamber 2,B6-F-156-02,03-100-10-SC,tone 04,1,25,3.57,100,0,0,1
VF040524_E1,2,Chamber 2,B6-F-156-02,03-100-10-SC,tone 05,3,22,3.14,88,2.31,0,110
VF040524_E1,2,Chamber 2,B6-F-156-02,03-100-10-SC,tone 06,3,20.733,2.96,82.93,8.7,0,373
VF040524_E1,2,Chamber 2,B6-F-156-02,03-100-10-SC,tone 07,5,13.033,1.86,52.13,70.23,0,928
VF040524_E1,2,Chamber 2,B6-F-156-02,03-100-10-SC,tone 08,3,5.067,0.72,20.27,55.5,0,370
VF040524_E1,2,Chamber 2,B6-F-156-02,03-100-10-SC,tone 09,5,8.867,1.27,35.47,83.78,0,874
VF040524_E1,2,Chamber 2,B6-F-156-02,03-100-10-SC,tone 10,5,20.767,2.97,83.07,9.9,0,307
VF040524_E1,2,Chamber 2,B6-F-156-02,03-100-10-SC,tone 11,3,20.333,2.9,81.33,7.95,0,220
VF040524_E1,2,Chamber 2,B6-F-156-02,03-100-10-SC,tone 12,3,22.733,3.25,90.93,3.9,0,152
VF040524_E1,2,Chamber 2,B6-F-156-02,03-100-10-SC,post-tone,15,34.867,4.98,29.06,70.01,0,715
,,,,,,,,,,,,
VF040524_E1,2,Chamber 1,B6-F-156-01,03-100-10-SC,pre-tone,15,29.5,4.21,24.58,20.99,0,237
VF040524_E1,2,Chamber 1,B6-F-156-01,03-100-10-SC,tone 01,5,18.433,2.63,73.73,5.82,0,145
VF040524_E1,2,Chamber 1,B6-F-156-01,03-100-10-SC,tone 02,3,21.833,3.12,87.33,2.44,0,130
VF040524_E1,2,Chamber 1,B6-F-156-01,03-100-10-SC,tone 03,3,24.9,3.56,99.6,0.28,0,51
VF040524_E1,2,Chamber 1,B6-F-156-01,03-100-10-SC,tone 04,4,23.9,3.41,95.6,0.65,0,44
VF040524_E1,2,Chamber 1,B6-F-156-01,03-100-10-SC,tone 05,2,24.9,3.56,99.6,0.19,0,33
VF040524_E1,2,Chamber 1,B6-F-156-01,03-100-10-SC,tone 06,3,11.4,1.63,45.6,33.56,0,392
VF040524_E1,2,Chamber 1,B6-F-156-01,03-100-10-SC,tone 07,2,22.167,3.17,88.67,7.87,0,438
VF040524_E1,2,Chamber 1,B6-F-156-01,03-100-10-SC,tone 08,4,21.3,3.04,85.2,5.92,0,168
VF040524_E1,2,Chamber 1,B6-F-156-01,03-100-10-SC,tone 09,7,22.367,3.2,89.47,3.77,0,174
VF040524_E1,2,Chamber 1,B6-F-156-01,03-100-10-SC,tone 10,2,24,3.43,96,0.64,0,64
VF040524_E1,2,Chamber 1,B6-F-156-01,03-100-10-SC,tone 11,4,24.133,3.45,96.53,0.87,0,51
VF040524_E1,2,Chamber 1,B6-F-156-01,03-100-10-SC,tone 12,2,22.767,3.25,91.07,0.84,0,93
VF040524_E1,2,Chamber 1,B6-F-156-01,03-100-10-SC,post-tone,15,109.567,15.65,91.31,1.49,0,80
,,,,,,,,,,,,
VF040524_E1,3,Chamber 3,B6-M-191-03,03-100-10-SC,pre-tone,15,31.633,4.52,26.36,28.43,0,285
VF040524_E1,3,Chamber 3,B6-M-191-03,03-100-10-SC,tone 01,2,23.333,3.33,93.33,2.75,0,211
VF040524_E1,3,Chamber 3,B6-M-191-03,03-100-10-SC,tone 02,4,23.167,3.31,92.67,1.75,0,128
VF040524_E1,3,Chamber 3,B6-M-191-03,03-100-10-SC,tone 03,1,25,3.57,100,0.01,0,1
VF040524_E1,3,Chamber 3,B6-M-191-03,03-100-10-SC,tone 04,1,25,3.57,100,0.02,0,4
VF040524_E1,3,Chamber 3,B6-M-191-03,03-100-10-SC,tone 05,4,23.367,3.34,93.47,2.55,0,174
