Date :,02/20/22 12:31:25,,,,,,,,,,,
Motion Threshold (au):,18,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
pre-tone, 0:00:00.000,120,0,3600,,,,,,,,
tone 01, 0:02:00.000,25,3600,750,,,,,,,,
tone 02, 0:02:42.000,25,4860,750,,,,,,,,
tone 03, 0:03:15.000,25,5850,750,,,,,,,,
tone 04, 0:04:02.000,25,7260,750,,,,,,,,
tone 05, 0:04:47.000,25,8610,750,,,,,,,,
tone 06, 0:05:29.000,25,9870,750,,,,,,,,
tone 07, 0:06:09.000,25,11070,750,,,,,,,,
tone 08, 0:06:54.000,25,12420,750,,,,,,,,
tone 09, 0:07:24.000,25,13320,750,,,,,,,,
tone 10, 0:08:08.000,25,14640,750,,,,,,,,
tone 11, 0:08:45.000,25,15750,750,,,,,,,,
tone 12, 0:09:15.000,25,16650,750,,,,,,,,
post-tone, 0:09:40.000,120,17400,3600,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
VF022022_E3,1,Chamber 4,,,tone 11,4,8.167,1.17,32.67,66.07,0,476
VF022022_E3,1,Chamber 4,,,tone 12,3,8.4,1.2,33.6,82.15,0,482
VF022022_E3,1,Chamber 4,,,post-tone,9,14.433,2.06,12.03,214.24,0,1563
,,,,,,,,,,,,
VF022022_E3,2,Chamber 1,,,pre-tone,4,6.033,0.86,5.03,180.08,0,1152
VF022022_E3,2,Chamber 1,,,tone 01,4,16.9,2.41,67.6,87.61,0,1707
VF022022_E3,2,Chamber 1,,,tone 02,3,23.633,3.38,94.53,2.6,0,224
VF022022_E3,2,Chamber 1,,,tone 03,7,19.667,2.81,78.67,7.19,0,171
VF022022_E3,2,Chamber 1,,,tone 04,6,17.3,2.47,69.2,18.35,0,387
VF022022_E3,2,Chamber 1,,,tone 05,7,20.4,2.91,81.6,7.83,0,149
VF022022_E3,2,Chamber 1,,,tone 06,4,17.2,2.46,68.8,43.63,0,550
VF022022_E3,2,Chamber 1,,,tone 07,3,10.267,1.47,41.07,79.27,0,601
VF022022_E3,2,Chamber 1,,,tone 08,5,9.233,1.32,36.93,112.25,0,931
VF022022_E3,2,Chamber 1,,,tone 09,8,12.033,1.72,48.13,26.59,0,503
VF022022_E3,2,Chamber 1,,,tone 10,4,8.1,1.16,32.4,124.35,0,848
VF022022_E3,2,Chamber 1,,,tone 11,4,16,2.29,64,84.83,0,2039
VF022022_E3,2,Chamber 1,,,tone 12,3,19.133,2.73,76.53,24.23,0,461
VF022022_E3,2,Chamber 1,,,post-tone,10,18.667,2.67,15.56,259.54,0,1728
,,,,,,,,,,,,
VF022022_E3,2,Chamber 2,,,pre-tone,2,2.033,0.29,1.69,270.14,0,2103
VF022022_E3,2,Chamber 2,,,tone 01,4,17.533,2.5,70.13,19.69,0,350
VF022022_E3,2,Chamber 2,,,tone 02,8,14.233,2.03,56.93,18.27,0,319
VF022022_E3,2,Chamber 2,,,tone 03,9,23.5,3.36,94,2.29,0,114
VF022022_E3,2,Chamber 2,,,tone 04,4,6.133,0.88,24.53,68.23,0,680
VF022022_E3,2,Chamber 2,,,tone 05,10,20.3,2.9,81.2,4.38,0,131
VF022022_E3,2,Chamber 2,,,tone 06,3,5.167,0.74,20.67,191.05,0,1580
VF022022_E3,2,Chamber 2,,,tone 07,3,4.167,0.6,16.67,80.44,0,894
VF022022_E3,2,Chamber 2,,,tone 08,5,10.067,1.44,40.27,39,0,325
VF022022_E3,2,Chamber 2,,,tone 09,5,8.467,1.21,33.87,66.12,0,678
VF022022_E3,2,Chamber 2,,,tone 10,4,7.633,1.09,30.53,124.42,0,1695
VF022022_E3,2,Chamber 2,,,tone 11,2,4.2,0.6,16.8,190.13,0,1179
VF022022_E3,2,Chamber 2,,,tone 12,0,0,0,0,321.5,0,1805
VF022022_E3,2,Chamber 2,,,post-tone,13,21.367,3.05,17.81,188.28,0,1758
,,,,,,,,,,,,
VF022022_E3,2,Chamber 3,,,pre-tone,26,32.467,4.64,27.06,23.44,0,622
VF022022_E3,2,Chamber 3,,,tone 01,5,23.1,3.3,92.4,1.33,0,121
VF022022_E3,2,Chamber 3,,,tone 02,6,20.9,2.99,83.6,1.42,0,48
VF022022_E3,2,Chamber 3,,,tone 03,5,22.133,3.16,88.53,2.72,0,126
VF022022_E3,2,Chamber 3,,,tone 04,5,23.5,3.36,94,1.04,0,41
VF022022_E3,2,Chamber 3,,,tone 05,1,25,3.57,100,0.12,0,13
VF022022_E3,2,Chamber 3,,,tone 06,5,23.3,3.33,93.2,0.88,0,45
VF022022_E3,2,Chamber 3,,,tone 07,2,23.133,3.3,92.53,1.6,0,70
VF022022_E3,2,Chamber 3,,,tone 08,4,24.1,3.44,96.4,1.38,0,59
VF022022_E3,2,Chamber 3,,,tone 09,3,24.433,3.49,97.73,1.02,0,110
VF022022_E3,2,Chamber 3,,,tone 10,2,24.433,3.49,97.73,0.74,0,69
VF022022_E3,2,Chamber 3,,,tone 11,4,22.067,3.15,88.27,3.49,0,139
VF022022_E3,2,Chamber 3,,,tone 12,3,22.767,3.25,91.07,2.3,0,225
VF022022_E3,2,Chamber 3,,,post-tone,7,25.6,3.66,21.33,103.66,0,785
