Date :,11/1/22 17:45,,,,,,,,,,,
Motion Threshold (au):,18,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
pre-tone, 0:00:00.000,120,0,3600,,,,,,,,
tone 01, 0:02:00.000,25,3600,750,,,,,,,,
tone 02, 0:03:15.000,25,5850,750,,,,,,,,
tone 03, 0:04:02.000,25,7260,750,,,,,,,,
tone 04, 0:04:47.000,25,8610,750,,,,,,,,
post-tone, 0:05:12.000,120,9360,3600,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
,,,,,,,,,,,,
VF103122_ER,2,Chamber 4,B6-M-108-R1,03-100-25-SC,pre-tone,0,0,0,0,267.34,0,1506
VF103122_ER,2,Chamber 4,B6-M-108-R1,03-100-25-SC,tone 01,1,1.367,0.32,5.47,274.45,0,1193
VF103122_ER,2,Chamber 4,B6-M-108-R1,03-100-25-SC,tone 02,1,1.267,0.29,5.07,89.33,0,452
VF103122_ER,2,Chamber 4,B6-M-108-R1,03-100-25-SC,tone 03,0,0,0,0,227.5,0,1213
VF103122_ER,2,Chamber 4,B6-M-108-R1,03-100-25-SC,tone 04,1,1.1,0.25,4.4,175.09,0,1416
VF103122_ER,2,Chamber 4,B6-M-108-R1,03-100-25-SC,post-tone,3,4.1,0.95,3.42,158.75,0,1322
,,,,,,,,,,,,
VF103122_ER,3,Chamber 1,B6-F-109-L1,03-100-25-SC,pre-tone,1,1,0.23,0.83,82.17,0,1017
VF103122_ER,3,Chamber 1,B6-F-109-L1,03-100-25-SC,tone 01,7,10.933,2.53,43.73,21.37,0,279
VF103122_ER,3,Chamber 1,B6-F-109-L1,03-100-25-SC,tone 02,4,7.267,1.68,29.07,40.96,0,529
VF103122_ER,3,Chamber 1,B6-F-109-L1,03-100-25-SC,tone 03,1,1.067,0.25,4.27,82.36,0,636
VF103122_ER,3,Chamber 1,B6-F-109-L1,03-100-25-SC,tone 04,0,0,0,0,140.09,0,723
VF103122_ER,3,Chamber 1,B6-F-109-L1,03-100-25-SC,post-tone,5,5.667,1.31,4.72,99,0,1137
,,,,,,,,,,,,
VF103122_ER,3,Chamber 2,B6-F-109-L2,03-100-25-SC,pre-tone,7,9.433,2.18,7.86,63.02,0,523
VF103122_ER,3,Chamber 2,B6-F-109-L2,03-100-25-SC,tone 01,3,9.1,2.11,36.4,20.46,0,355
VF103122_ER,3,Chamber 2,B6-F-109-L2,03-100-25-SC,tone 02,4,6.3,1.46,25.2,32.86,0,417
VF103122_ER,3,Chamber 2,B6-F-109-L2,03-100-25-SC,tone 03,2,3.3,0.76,13.2,67.26,0,456
VF103122_ER,3,Chamber 2,B6-F-109-L2,03-100-25-SC,tone 04,6,11.4,2.64,45.6,10.26,0,234
VF103122_ER,3,Chamber 2,B6-F-109-L2,03-100-25-SC,post-tone,6,7.367,1.71,6.14,57.08,0,579
,,,,,,,,,,,,
VF103122_ER,3,Chamber 3,B6-F-109-R1,03-100-25-SC,pre-tone,10,108.133,25.03,90.11,2.39,0,146
VF103122_ER,3,Chamber 3,B6-F-109-R1,03-100-25-SC,tone 01,2,15.367,3.56,61.47,6.15,0,111
VF103122_ER,3,Chamber 3,B6-F-109-R1,03-100-25-SC,tone 02,4,22.2,5.14,88.8,2.61,0,66
VF103122_ER,3,Chamber 3,B6-F-109-R1,03-100-25-SC,tone 03,4,14.7,3.4,58.8,13.45,0,200
VF103122_ER,3,Chamber 3,B6-F-109-R1,03-100-25-SC,tone 04,4,22.033,5.1,88.13,2.46,0,53
