Date :,2003/05/22 15:26,,,,,,,,,,,
Motion Threshold (au):,18,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
pre-tone, 0:00:00.000,180,0,5400,,,,,,,,
tone 01, 0:03:40.000,25,6600,750,,,,,,,,
tone 02, 0:05:55.000,25,10650,750,,,,,,,,
tone 03, 0:08:10.000,25,14700,750,,,,,,,,
tone 04, 0:09:05.000,25,16350,750,,,,,,,,
tone 05, 0:09:50.000,25,17700,750,,,,,,,,
tone 06, 0:12:15.000,25,22050,750,,,,,,,,
post-tone, 0:12:40.000,180,22800,5400,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
VF030222_FC2,4,Chamber 1,B6-M-23-01,06-050-25-SC,pre-tone,27,35.333,3.76,19.63,49.73,0,581
VF030222_FC2,4,Chamber 1,B6-M-23-01,06-050-25-SC,tone 01,2,6.233,0.66,24.93,72.23,0,454
VF030222_FC2,4,Chamber 1,B6-M-23-01,06-050-25-SC,tone 02,5,16.433,1.75,65.73,23.49,0,910
VF030222_FC2,4,Chamber 1,B6-M-23-01,06-050-25-SC,tone 03,2,2.167,0.23,8.67,158.4,0,3725
VF030222_FC2,4,Chamber 1,B6-M-23-01,06-050-25-SC,tone 04,1,1,0.11,4,51.11,0,456
VF030222_FC2,4,Chamber 1,B6-M-23-01,06-050-25-SC,tone 05,3,8.233,0.88,32.93,127.54,0,3435
VF030222_FC2,4,Chamber 1,B6-M-23-01,06-050-25-SC,tone 06,1,2.867,0.3,11.47,164.43,0,4145
VF030222_FC2,4,Chamber 1,B6-M-23-01,06-050-25-SC,post-tone,23,101.233,10.77,56.24,55.6,0,2399
,,,,,,,,,,,,
VF030222_FC2,4,Chamber 2,B6-M-23-02,06-050-25-SC,pre-tone,28,64.433,6.85,35.8,38.57,0,699
VF030222_FC2,4,Chamber 2,B6-M-23-02,06-050-25-SC,tone 01,3,22.167,2.36,88.67,3.19,0,128
VF030222_FC2,4,Chamber 2,B6-M-23-02,06-050-25-SC,tone 02,5,15.4,1.64,61.6,21.77,0,267
VF030222_FC2,4,Chamber 2,B6-M-23-02,06-050-25-SC,tone 03,2,20.533,2.18,82.13,6.35,0,350
VF030222_FC2,4,Chamber 2,B6-M-23-02,06-050-25-SC,tone 04,3,19.5,2.07,78,8.34,0,302
VF030222_FC2,4,Chamber 2,B6-M-23-02,06-050-25-SC,tone 05,1,25,2.66,100,0.06,0,6
VF030222_FC2,4,Chamber 2,B6-M-23-02,06-050-25-SC,tone 06,4,23.267,2.48,93.07,1.14,0,58
VF030222_FC2,4,Chamber 2,B6-M-23-02,06-050-25-SC,post-tone,7,162.033,17.24,90.02,19.24,0,3613
,,,,,,,,,,,,
VF030222_FC2,4,Chamber 3,B6-M-23-03,06-050-25-SC,pre-tone,29,58.2,6.19,32.33,19.62,0,473
VF030222_FC2,4,Chamber 3,B6-M-23-03,06-050-25-SC,tone 01,5,6.4,0.68,25.6,58.98,0,495
VF030222_FC2,4,Chamber 3,B6-M-23-03,06-050-25-SC,tone 02,1,2.233,0.24,8.93,94.71,0,535
VF030222_FC2,4,Chamber 3,B6-M-23-03,06-050-25-SC,tone 03,2,13.633,1.45,54.53,87.43,0,5072
VF030222_FC2,4,Chamber 3,B6-M-23-03,06-050-25-SC,tone 04,2,11.2,1.19,44.8,51.27,0,501
VF030222_FC2,4,Chamber 3,B6-M-23-03,06-050-25-SC,tone 05,4,18.033,1.92,72.13,38.57,0,853
VF030222_FC2,4,Chamber 3,B6-M-23-03,06-050-25-SC,tone 06,2,11.367,1.21,45.47,73.96,0,745
VF030222_FC2,4,Chamber 3,B6-M-23-03,06-050-25-SC,post-tone,19,119.667,12.73,66.48,34.1,0,2810
,,,,,,,,,,,,
VF030222_FC2,4,Chamber 4,B6-F-29-02,06-050-25-SC,pre-tone,19,125.733,13.38,69.85,8.82,0,180
VF030222_FC2,4,Chamber 4,B6-F-29-02,06-050-25-SC,tone 01,2,19.233,2.05,76.93,6.52,0,115
VF030222_FC2,4,Chamber 4,B6-F-29-02,06-050-25-SC,tone 02,1,25,2.66,100,0.18,0,9
VF030222_FC2,4,Chamber 4,B6-F-29-02,06-050-25-SC,tone 03,2,24.2,2.57,96.8,0.89,0,71
VF030222_FC2,4,Chamber 4,B6-F-29-02,06-050-25-SC,tone 04,5,16.933,1.8,67.73,16.1,0,239
VF030222_FC2,4,Chamber 4,B6-F-29-02,06-050-25-SC,tone 05,1,1.033,0.11,4.13,72.02,0,408
VF030222_FC2,4,Chamber 4,B6-F-29-02,06-050-25-SC,tone 06,2,23.1,2.46,92.4,0.91,0,46
VF030222_FC2,4,Chamber 4,B6-F-29-02,06-050-25-SC,post-tone,11,139.333,14.82,77.41,19.46,0,1333
