Date :,05/20/22 15:03:45,,,,,,,,,,,
Motion Threshold (au):,18,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
pre-tone, 0:00:00.000,120,0,3600,,,,,,,,
tone 01, 0:02:00.000,25,3600,750,,,,,,,,
tone 02, 0:02:42.000,25,4860,750,,,,,,,,
tone 03, 0:03:15.000,25,5850,750,,,,,,,,
tone 04, 0:04:02.000,25,7260,750,,,,,,,,
tone 05, 0:04:47.000,25,8610,750,,,,,,,,
tone 06, 0:05:29.000,25,9870,750,,,,,,,,
tone 07, 0:06:09.000,25,11070,750,,,,,,,,
tone 08, 0:06:54.000,25,12420,750,,,,,,,,
tone 09, 0:07:24.000,25,13320,750,,,,,,,,
tone 10, 0:08:08.000,25,14640,750,,,,,,,,
tone 11, 0:08:45.000,25,15750,750,,,,,,,,
tone 12, 0:09:15.000,25,16650,750,,,,,,,,
post-tone, 0:09:40.000,120,17400,3600,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
VF052022_E3,1,Chamber 3,B6-F-68-R1,12-050-10-SC,tone 11,3,11.567,1.65,46.27,91.2,0,995
VF052022_E3,1,Chamber 3,B6-F-68-R1,12-050-10-SC,tone 12,3,6.867,0.98,27.47,163.15,0,1563
VF052022_E3,1,Chamber 3,B6-F-68-R1,12-050-10-SC,post-tone,12,18.333,2.62,15.28,187.79,0,1719
,,,,,,,,,,,,
VF052022_E3,1,Chamber 4,B6-F-68-R2,12-050-10-SC,pre-tone,8,13.567,1.94,11.31,151.02,0,1541
VF052022_E3,1,Chamber 4,B6-F-68-R2,12-050-10-SC,tone 01,3,9.2,1.31,36.8,84.62,0,602
VF052022_E3,1,Chamber 4,B6-F-68-R2,12-050-10-SC,tone 02,6,17.4,2.49,69.6,27.03,0,286
VF052022_E3,1,Chamber 4,B6-F-68-R2,12-050-10-SC,tone 03,6,18.567,2.65,74.27,15.22,0,228
VF052022_E3,1,Chamber 4,B6-F-68-R2,12-050-10-SC,tone 04,3,4.5,0.64,18,144.15,0,1028
VF052022_E3,1,Chamber 4,B6-F-68-R2,12-050-10-SC,tone 05,4,11.033,1.58,44.13,50.85,0,561
VF052022_E3,1,Chamber 4,B6-F-68-R2,12-050-10-SC,tone 06,4,12.767,1.82,51.07,56.11,0,588
VF052022_E3,1,Chamber 4,B6-F-68-R2,12-050-10-SC,tone 07,2,3.4,0.49,13.6,143.03,0,1288
VF052022_E3,1,Chamber 4,B6-F-68-R2,12-050-10-SC,tone 08,0,0,0,0,206.84,0,1247
VF052022_E3,1,Chamber 4,B6-F-68-R2,12-050-10-SC,tone 09,0,0,0,0,198.4,0,1053
VF052022_E3,1,Chamber 4,B6-F-68-R2,12-050-10-SC,tone 10,2,2.233,0.32,8.93,155.78,0,864
VF052022_E3,1,Chamber 4,B6-F-68-R2,12-050-10-SC,tone 11,1,2.467,0.35,9.87,129.82,0,813
VF052022_E3,1,Chamber 4,B6-F-68-R2,12-050-10-SC,tone 12,3,5.333,0.76,21.33,214.58,0,1417
VF052022_E3,1,Chamber 4,B6-F-68-R2,12-050-10-SC,post-tone,6,8.433,1.2,7.03,194.49,0,1529
,,,,,,,,,,,,
VF052022_E3,2,Chamber 1,B6-M-81-L1,12-050-10-SC,pre-tone,12,19.933,2.85,16.61,177.95,0,1538
VF052022_E3,2,Chamber 1,B6-M-81-L1,12-050-10-SC,tone 01,5,19.267,2.75,77.07,12.87,0,329
VF052022_E3,2,Chamber 1,B6-M-81-L1,12-050-10-SC,tone 02,3,18.167,2.6,72.67,33.8,0,437
